pathway,Biodomain,biodomain_top5
GOBP_AUTOPHAGY_OF_MITOCHONDRION,Autophagy,"Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA,Proteostasis,"RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy"
GOBP_RECOMBINATIONAL_REPAIR,DNA Repair,"DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Autophagy"
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_BREAK_INDUCED_REPLICATION,Cell Cycle,"DNA Repair, Proteostasis, Cell Cycle, Epigenetic, Mitochondrial Metabolism"
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA,unknown,"DNA Repair, Epigenetic, Cell Cycle, Autophagy, Proteostasis"
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE,unknown,"Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Epigenetic"
GOBP_FATTY_ACID_ALPHA_OXIDATION,Lipid Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_NATURAL_KILLER_CELL_PROLIFERATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis"
GOBP_RECEPTOR_RECYCLING,Endolysosome,"Endolysosome, Synapse, Immune Response, Structural Stabilization, Autophagy"
GOBP_CELL_KILLING,unknown,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Autophagy"
GOBP_BLOOD_VESSEL_MATURATION,Vasculature,"Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Oxidative Stress"
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE,Synapse,"Synapse, Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism"
